name,type,value
Excalibur,Weapon,500
IronSword,Weapon,150
WoodenBow,Weapon,100
SteelDagger,Weapon,120
Warhammer,Weapon,300
Katana,Weapon,250
Spear,Weapon,180
Crossbow,Weapon,200
BattleAxe,Weapon,280
MagicStaff,Weapon,350
DragonPlate,Armor,450
LeatherArmor,Armor,80
ChainMail,Armor,150
PlateHelmet,Armor,100
IronShield,Armor,130
MysticRobe,Armor,200
SteelGauntlets,Armor,90
HeavyBoots,Armor,70
ElvenCloak,Armor,180
HealthPotion,Consumable,50
ManaPotion,Consumable,60
Elixir,Consumable,100
AntidotePotion,Consumable,30
StrengthPotion,Consumable,80
SpeedPotion,Consumable,70
InvisibilityPotion,Consumable,120
PhoenixDown,Consumable,150
EtherPotion,Consumable,90
RingOfPower,Accessory,300
AmuletOfLife,Accessory,250
LuckyCharm,Accessory,150
VampireRing,Accessory,280
SpeedBoots,Accessory,180
MagicEarrings,Accessory,200
CriticalNecklace,Accessory,220
DragonScale,Material,60
IronOre,Material,20
GoldIngot,Material,80
MythrilOre,Material,150
DemonHorn,Material,100
PhoenixFeather,Material,120
UnicornHair,Material,90
EnchantedGem,Material,110
AncientScroll,Material,200
MoonStone,Material,140
